distance_maximum,distance_minimum,end_date,number_of_runners,start_date,venue,win_pool_size_gt
1000,500,2015-07-20,N/A,2015-07-14,N/A,N/A
box_no,no_races,no_wins,total_payout,avg_num_races_between_wins,avg_win_payout,expected_value
1,106,21,83.8,5.04761904762,3.99047619048,-23.2094339623
2,106,8,32.1,13.25,4.0125,-23.6971698113
3,102,10,70.8,10.2,7.08,-23.3058823529
4,105,11,60.1,9.54545454545,5.46363636364,-23.4276190476
5,99,10,107.1,9.9,10.71,-22.9181818182
6,101,13,87.0,7.76923076923,6.69230769231,-23.1386138614
7,108,21,224.0,5.14285714286,10.6666666667,-21.9259259259
8,100,15,79.9,6.66666666667,5.32666666667,-23.201
